"","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund"
"E1-1_Root",0.419686443283123,0.0963664309867814,0.483947125730095
"E1-2_Root",0.41741021458953,0.0865233937765838,0.496066391633887
"E1-N_Soil",0.424759884939788,0.132758032275364,0.442482082784847
"E1-S_Soil",0.408319985629388,0.180650569585198,0.411029444785414
"E2-1_Root",0.368852983727451,0.0902351901878193,0.54091182608473
"E2-2_Root",0.436298235371664,0.0920167988097704,0.471684965818565
"E2-N_Soil",0.397469180673204,0.148971205625362,0.453559613701435
"E2-S_Soil",0.454625659485116,0.0917368058864009,0.453637534628483
"E3-1_Root",0.498747335751412,0.0606887783719104,0.440563885876678
"E3-2_Root",0.518825422365245,0.0508849557522124,0.430289621882542
"E3-N_Soil",0.391156362350445,0.157334826427772,0.451508811221783
"E3-S_Soil",0.426645065993234,0.111104493257731,0.462250440749035
"E4-1_Root",0.302861715505087,0.205902526387989,0.491235758106924
"E4-2_Root",0.323220639010113,0.204444678128889,0.472334682860999
"E4-N_Soil",0.340562202346382,0.199256591938669,0.460181205714949
"E4-S_Soil",0.400791149215155,0.185163588224169,0.414045262560676
"E5-1_Root",0.487647804054054,0.0985536317567568,0.413798564189189
"E5-2_Root",0.505240091463415,0.0982278963414634,0.396532012195122
"E5-N_Soil",0.386593818567547,0.146354931051018,0.467051250381435
"E5-S_Soil",0.370518761665701,0.17097895346592,0.458502284868379
"E6-1_Root",0.323280380614467,0.119627449399242,0.557092169986291
"E6-2_Root",0.36643267389917,0.123978940650925,0.509588385449904
"E6-N_Soil",0.40595876315686,0.154238376741686,0.439802860101454
"E6-S_Soil",0.308939971576169,0.272045387895057,0.419014640528774
"E7-1_Root",0.384400949866517,0.169456776648623,0.44614227348486
"E7-2_Root",0.423696571503827,0.141368764541477,0.434934663954696
"E7-N_Soil",0.344650821430588,0.164105459267205,0.491243719302207
"E7-S_Soil",0.387479294297058,0.180439793512651,0.432080912190291
"E8-1_Root",0.438853671421025,0.0868150602698939,0.474331268309081
"E8-2_Root",0.445094025652731,0.0862650389503291,0.46864093539694
"E8-N_Soil",0.349618265017539,0.188427785937102,0.461953949045359
"E8-S_Soil",0.398698476111509,0.104963630196359,0.496337893692132
"E9-1_Root",0.327410617551463,0.183328022433242,0.489261360015295
"E9-2_Root",0.324303236051032,0.181911515085145,0.493785248863823
"E9-N_Soil",0.417522877367324,0.139910862536048,0.442566260096628
"E9-S_Soil",0.374096973641393,0.16499837292548,0.460904653433127
"Neg_Control",0.612903225806452,0.161290322580645,0.225806451612903
"P1-1_Root",0.319833051985166,0.181808514880438,0.498358433134396
"P1-2_Root",0.364418318886786,0.152186908438777,0.483394772674438
"P1-N_Soil",0.405588358821059,0.037700422462139,0.556711218716802
"P1-S_Soil",0.440129295245374,0.114932645457151,0.444938059297475
"P2-1_Root",0.368035712095756,0.118038778038042,0.513925509866202
"P2-2_Root",0.374295640032579,0.110653080899586,0.515051279067835
"P2-N_Soil",0.424248537421828,0.123818686860849,0.451932775717323
"P2-S_Soil",0.388556659930438,0.184462682668646,0.426980657400916
"P3-1_Root",0.300812387962928,0.0727462272906416,0.626441384746431
"P3-2_Root",0.306134783922635,0.0626573990127934,0.631207817064571
"P3-N_Soil",0.293481403377494,0.212020203738032,0.494498392884475
"P3-S_Soil",0.360957044695858,0.1598191902529,0.479223765051242
"P4-1_Root",0.310736152641321,0.174142104513741,0.515121742844938
"P4-2_Root",0.314919582272207,0.174919240432769,0.510161177295025
"P4-N_Soil",0.377640362322952,0.115769368960496,0.506590268716552
"P4-S_Soil",0.315720297916971,0.251676114865313,0.432603587217716
"P5-1_Root",0.472709319755407,0.10421375716767,0.423076923076923
"P5-2_Root",0.499963587106923,0.103026639672575,0.397009773220502
"P5-N_Soil",0.378074267587236,0.152920320955402,0.469005411457361
"P5-S_Soil",0.327397141369134,0.109108269197384,0.563494589433482
"P6-1_Root",0.268803289593034,0.218782124931971,0.512414585474996
"P6-2_Root",0.279360327473232,0.227092911365337,0.49354676116143
"P6-N_Soil",0.313806922639438,0.276389752271615,0.409803325088947
"P6-S_Soil",0.458836718738476,0.134073844610642,0.407089436650883
"P7-1_Root",0.295335417720355,0.170479102487471,0.534185479792174
"P7-2_Root",0.293628926285448,0.148573608579543,0.557797465135009
"P7-N_Soil",0.370711622542314,0.147447761594378,0.481840615863308
"P7-S_Soil",0.395068399272516,0.118426948522628,0.486504652204855
"P8-1_Root",0.430946813643618,0.116690791671306,0.452362394685076
"P8-2_Root",0.427955610853473,0.122296371702547,0.449748017443979
"P8-N_Soil",0.400596421471173,0.100646123260437,0.49875745526839
"P8-S_Soil",0.395566882555122,0.162664546751152,0.441768570693727
"P9-1_Root",0.499187235851652,0.0937679745917423,0.407044789556606
"P9-2_Root",0.505748123188226,0.0993657243378509,0.394886152473923
"P9-N_Soil",0.444310914631529,0.150950684578737,0.404738400789733
"P9-S_Soil",0.381060239737358,0.188545033466521,0.430394726796121
