"","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness"
"E1_Root",476,223,735
"E1_Soil",565,497,1135
"E2_Root",436,196,680
"E2_Soil",638,398,1184
"E3_Root",390,103,497
"E3_Soil",741,489,1589
"E4_Root",390,234,661
"E4_Soil",516,599,1176
"E5_Root",441,201,689
"E5_Soil",545,455,1264
"E6_Root",512,234,748
"E6_Soil",597,656,1308
"E7_Root",438,209,677
"E7_Soil",639,595,1418
"E8_Root",558,258,1003
"E8_Soil",604,544,1427
"E9_Root",422,226,844
"E9_Soil",568,526,1165
"P1_Root",332,160,509
"P1_Soil",565,229,989
"P2_Root",432,211,723
"P2_Soil",645,475,1235
"P3_Root",309,154,541
"P3_Soil",470,459,960
"P4_Root",343,215,613
"P4_Soil",433,483,1032
"P5_Root",631,238,955
"P5_Soil",400,226,764
"P6_Root",371,291,620
"P6_Soil",536,568,1080
"P7_Root",420,233,834
"P7_Soil",524,399,1221
"P8_Root",475,251,843
"P8_Soil",558,385,1068
"P9_Root",489,219,789
"P9_Soil",651,591,1343
