"","Shannon","Simpson","Invsimpson","Richness","SampleID","Species","SampleType","Plot","Subplot","TreeSampleType"
"1",2.07318141257438,0.815708612181477,5.42618953515468,25,"E1-1_Root","Eucalyptus","Root","E1","Combined","E1_Root"
"2",2.1059677042502,0.808149076268937,5.21238042826314,21,"E1-N_Soil","Eucalyptus","Soil","E1","North","E1_Soil"
"3",2.06477484140365,0.797815037407389,4.9459662438642,17,"E1-S_Soil","Eucalyptus","Soil","E1","South","E1_Soil"
"4",2.64268991934589,0.907884082054489,10.8558870421454,30,"E2-1_Root","Eucalyptus","Root","E2","Combined","E2_Root"
"5",2.6860459635856,0.910149902403644,11.1296484561699,29,"E2-2_Root","Eucalyptus","Root","E2","Combined","E2_Root"
"6",1.56490823071051,0.684379766675073,3.1683646813939,17,"E2-N_Soil","Eucalyptus","Soil","E2","North","E2_Soil"
"7",1.92200394444434,0.773035266841273,4.40597085759863,19,"E3-1_Root","Eucalyptus","Root","E3","Combined","E3_Root"
"8",2.10493733657892,0.788660648679454,4.73172645676982,25,"E3-2_Root","Eucalyptus","Root","E3","Combined","E3_Root"
"9",2.53794002674495,0.886615265365524,8.81952939453227,27,"E3-N_Soil","Eucalyptus","Soil","E3","North","E3_Soil"
"10",2.3553075266494,0.871512327130363,7.78284778349592,20,"E3-S_Soil","Eucalyptus","Soil","E3","South","E3_Soil"
"11",1.89721101957131,0.693714946513591,3.26493241709678,27,"E4-1_Root","Eucalyptus","Root","E4","Combined","E4_Root"
"12",1.96181044629446,0.737157958996481,3.8045664087147,23,"E4-2_Root","Eucalyptus","Root","E4","Combined","E4_Root"
"13",1.94957263259631,0.775511772894098,4.45457658466986,23,"E4-N_Soil","Eucalyptus","Soil","E4","North","E4_Soil"
"14",2.23962274102299,0.771210273110834,4.37082562052463,25,"E4-S_Soil","Eucalyptus","Soil","E4","South","E4_Soil"
"15",0.546731134350763,0.268601969863878,1.36724459021839,9,"E5-1_Root","Eucalyptus","Root","E5","Combined","E5_Root"
"16",0.57762290528797,0.26494533916009,1.36044304359264,14,"E5-2_Root","Eucalyptus","Root","E5","Combined","E5_Root"
"17",2.02079048191821,0.753011583680304,4.04877287324125,21,"E5-N_Soil","Eucalyptus","Soil","E5","North","E5_Soil"
"18",1.17713407231098,0.544794793785436,2.19681142998317,9,"E5-S_Soil","Eucalyptus","Soil","E5","South","E5_Soil"
"19",2.76135084777348,0.882417684882043,8.50468030840196,45,"E6-1_Root","Eucalyptus","Root","E6","Combined","E6_Root"
"20",2.81678557183751,0.894034818659636,9.43706213070083,50,"E6-2_Root","Eucalyptus","Root","E6","Combined","E6_Root"
"21",1.38416085260483,0.507615884847925,2.03093473007582,17,"E6-N_Soil","Eucalyptus","Soil","E6","North","E6_Soil"
"22",2.91359976203798,0.92358775925552,13.086908462009,32,"E6-S_Soil","Eucalyptus","Soil","E6","South","E6_Soil"
"23",2.11059638874502,0.818331269578289,5.50452462390574,23,"E7-1_Root","Eucalyptus","Root","E7","Combined","E7_Root"
"24",2.06076259933951,0.789469700762241,4.74991012514862,29,"E7-2_Root","Eucalyptus","Root","E7","Combined","E7_Root"
"25",2.17145178051626,0.790499877930412,4.77326690849295,26,"E7-N_Soil","Eucalyptus","Soil","E7","North","E7_Soil"
"26",2.25860071074589,0.872739903516387,7.85792269243461,13,"E7-S_Soil","Eucalyptus","Soil","E7","South","E7_Soil"
"27",2.21371666801852,0.823840890536202,5.6766862811912,24,"E8-1_Root","Eucalyptus","Root","E8","Combined","E8_Root"
"28",1.84309111237476,0.75183810227225,4.02962746963301,22,"E8-2_Root","Eucalyptus","Root","E8","Combined","E8_Root"
"29",2.57629698156364,0.900436057719342,10.0437967510479,21,"E8-N_Soil","Eucalyptus","Soil","E8","North","E8_Soil"
"30",2.46442356929582,0.89095662460624,9.17066255871992,22,"E8-S_Soil","Eucalyptus","Soil","E8","South","E8_Soil"
"31",2.96083197561016,0.925976005081132,13.5091331006388,32,"E9-1_Root","Eucalyptus","Root","E9","Combined","E9_Root"
"32",2.58328951643931,0.874176742054029,7.94765623084886,28,"E9-2_Root","Eucalyptus","Root","E9","Combined","E9_Root"
"33",2.14241812516128,0.836856426946037,6.12957029983174,19,"E9-N_Soil","Eucalyptus","Soil","E9","North","E9_Soil"
"34",2.84668812662809,0.930996873167918,14.4920968934275,25,"E9-S_Soil","Eucalyptus","Soil","E9","South","E9_Soil"
"35",1.54529284379691,0.614850637359842,2.59639531309388,25,"P1-1_Root","Pine","Root","P1","Combined","P1_Root"
"36",1.62141059441131,0.711573881521084,3.46709238842078,22,"P1-2_Root","Pine","Root","P1","Combined","P1_Root"
"37",1.91178005021614,0.776851809892216,4.48132695818408,16,"P1-N_Soil","Pine","Soil","P1","North","P1_Soil"
"38",1.59740419740652,0.6311602732176,2.71120469783332,23,"P1-S_Soil","Pine","Soil","P1","South","P1_Soil"
"39",2.69298782997511,0.880485924747717,8.36721530823121,36,"P2-1_Root","Pine","Root","P2","Combined","P2_Root"
"40",2.48463209520043,0.870827124076085,7.74156333400069,30,"P2-2_Root","Pine","Root","P2","Combined","P2_Root"
"41",2.02196977422224,0.742471604288593,3.88306694194851,26,"P2-N_Soil","Pine","Soil","P2","North","P2_Soil"
"42",0.786183732313407,0.319241987003444,1.46895075916655,9,"P2-S_Soil","Pine","Soil","P2","South","P2_Soil"
"43",2.17441806544774,0.818120109357269,5.49813394139493,20,"P3-1_Root","Pine","Root","P3","Combined","P3_Root"
"44",2.08596829569315,0.822308674011088,5.62773671947499,20,"P3-2_Root","Pine","Root","P3","Combined","P3_Root"
"45",2.18415051804,0.876015971304987,8.06555497934244,13,"P3-N_Soil","Pine","Soil","P3","North","P3_Soil"
"46",1.53068840886594,0.700664253113249,3.34073030167805,14,"P3-S_Soil","Pine","Soil","P3","South","P3_Soil"
"47",1.6581164207,0.740973078495372,3.86060257440126,18,"P4-1_Root","Pine","Root","P4","Combined","P4_Root"
"48",1.72450563179618,0.755649425632336,4.09248066057476,19,"P4-2_Root","Pine","Root","P4","Combined","P4_Root"
"49",2.07701772946572,0.804096223577391,5.10454682528821,16,"P4-N_Soil","Pine","Soil","P4","North","P4_Soil"
"50",1.698227093672,0.617684929495026,2.61564368540107,20,"P4-S_Soil","Pine","Soil","P4","South","P4_Soil"
"51",2.38897689498054,0.8597229435545,7.12874952853405,29,"P5-1_Root","Pine","Root","P5","Combined","P5_Root"
"52",2.52731953043869,0.872485562216461,7.84224921806534,38,"P5-2_Root","Pine","Root","P5","Combined","P5_Root"
"53",2.25738705059481,0.840841898173796,6.28306060782235,26,"P5-N_Soil","Pine","Soil","P5","North","P5_Soil"
"54",1.6933829024701,0.696767516630054,3.29779972411462,19,"P5-S_Soil","Pine","Soil","P5","South","P5_Soil"
"55",2.78394422944276,0.890614972113802,9.14201897027787,41,"P6-1_Root","Pine","Root","P6","Combined","P6_Root"
"56",2.56711029082386,0.863270909784998,7.31373256727984,39,"P6-2_Root","Pine","Root","P6","Combined","P6_Root"
"57",2.96763083986261,0.92168399564488,12.7687821695492,36,"P6-S_Soil","Pine","Soil","P6","South","P6_Soil"
"58",1.55496926074795,0.721715266338285,3.59344182069149,15,"P7-1_Root","Pine","Root","P7","Combined","P7_Root"
"59",1.52433886877376,0.68633525267693,3.18811727659665,17,"P7-2_Root","Pine","Root","P7","Combined","P7_Root"
"60",1.7840952576819,0.78642709551014,4.68224189013396,12,"P7-N_Soil","Pine","Soil","P7","North","P7_Soil"
"61",2.13451133943522,0.831018439981503,5.91780546877742,21,"P7-S_Soil","Pine","Soil","P7","South","P7_Soil"
"62",1.84029947114706,0.74822607619942,3.97181719577941,22,"P8-1_Root","Pine","Root","P8","Combined","P8_Root"
"63",1.6000437004591,0.707608814539401,3.42007574005597,12,"P8-2_Root","Pine","Root","P8","Combined","P8_Root"
"64",0.820395242263026,0.301566690210636,1.43177592761374,17,"P8-N_Soil","Pine","Soil","P8","North","P8_Soil"
"65",1.59394059312258,0.630695246214004,2.70779076020093,20,"P8-S_Soil","Pine","Soil","P8","South","P8_Soil"
"66",1.61282179965448,0.737845534637513,3.8145449806368,13,"P9-1_Root","Pine","Root","P9","Combined","P9_Root"
"67",2.25250069987427,0.85393478091178,6.84625680392829,27,"P9-2_Root","Pine","Root","P9","Combined","P9_Root"
"68",2.38853952389981,0.876551226876473,8.10052602952453,23,"P9-N_Soil","Pine","Soil","P9","North","P9_Soil"
"69",2.70166522046309,0.908374258477668,10.9139635148957,24,"P9-S_Soil","Pine","Soil","P9","South","P9_Soil"
