Sample	Raw	Merged	ExtractedV4
E1-1	96842	94267	26091
E1-2	163387	161672	944
E1-N	87731	83722	10900
E1-S	97891	94775	6076
E2-1	84186	80969	28563
E2-2	92947	89688	23928
E2-N	101029	96026	15800
E2-S	118202	115608	1372
E3-1	62919	62373	47461
E3-2	68742	66946	32834
E3-N	93831	89293	19624
E3-S	82105	78812	15537
E4-1	70411	69816	54196
E4-2	56608	56223	38212
E4-N	148234	144960	13019
E4-S	101341	95073	14266
E5-1	56055	55077	41556
E5-2	63808	62764	51102
E5-N	93799	88037	13701
E5-S	92387	85037	12823
E6-1	63594	62430	39373
E6-2	65783	64728	48585
E6-N	93699	88789	8691
E6-S	72404	69952	14239
E7-1	69409	68724	44978
E7-2	61812	61079	42675
E7-N	68436	67270	35616
E7-S	92559	88602	4719
E8-1	103977	101065	9669
E8-2	90818	89820	22522
E8-N	92409	86383	5849
E8-S	92927	88553	11601
E9-1	86165	83894	30296
E9-2	75608	72241	21945
E9-N	72051	69036	9508
E9-S	103192	98188	10879
P1-1	80237	78138	38008
P1-2	75921	74239	23583
P1-N	74103	69393	13124
P1-S	94207	90402	16585
P2-1	77751	73679	25195
P2-2	88326	81344	28649
P2-N	136819	133620	14298
P2-S	132005	128927	4475
P3-1	74105	72361	26288
P3-2	65605	62458	41490
P3-N	83130	74901	10047
P3-S	123303	119310	15139
P4-1	97862	95692	34061
P4-2	72889	70802	33287
P4-N	104913	99901	5764
P4-S	95425	89810	9868
P5-1	95298	91728	20614
P5-2	85175	78529	27304
P5-N	80875	76032	18018
P5-S	80891	76480	33797
P6-1	81826	80584	48073
P6-2	84671	82935	44713
P6-N	109149	106417	436
P6-S	83501	80228	27649
P7-1	66909	64852	36650
P7-2	75027	73042	40224
P7-N	97480	94513	9080
P7-S	75049	69835	11787
P8-1	79464	76613	16335
P8-2	70261	69024	7582
P8-N	121859	119265	17093
P8-S	103586	100098	18137
P9-1	62062	60242	22426
P9-2	59973	56232	25550
P9-N	89278	83826	8075
P9-S	78386	74152	10980
