"","treeName","Phialocephala","Thelephora","Athelopsis","Diplodia","Ascocorticium","Tomentella","Leohumicola","Clavulinopsis","Pseudocamarosporium","Flavocillium"
"2","E1",48,0,0,0,0,13495,1894,32,27,6
"4","E2",3,0,0,7,0,17506,0,0,144,0
"6","E3",0,0,2,24,0,387,350,6,134,8
"8","E4",0,0,0,20,0,3978,11,82,99,32
"10","E5",40,1,0,0,0,132,0,0,40,1
"12","E6",0,0,0,0,0,6226,16,0,8,0
"14","E7",1,0,0,23,0,1363,143,2718,99,0
"16","E8",6,6,0,21,0,102,5,8,35,12
"18","E9",3,5,0,2,0,393,10,0,42,4
"20","P1",44,6994,0,45,3,862,0,0,14,0
"22","P2",10,1,4,49,0,198,2,0,28,2
"24","P3",43,0,0,4,0,5623,0,0,0,0
"26","P4",256,3,7,37,0,531,3,0,60,0
"28","P5",497,608,13,11,168,596,0,0,0,0
"30","P6",3,15,0,9,4,13,42,0,11,0
"32","P7",116,0,0,5,0,832,0,0,21,0
"34","P8",1044,5153,74,38,14,1,3,0,3,0
"36","P9",627,3,93,17,0,0,0,0,9,3
